!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-05-25 13:00:16

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_7

[PANEL_ID]
SG3151_2019

[DEVICE]
SAM_874E

# Correlated color temperature (K)
[LAMP_CCT]
2972.0

# wavelength (nm)	bandwidth (nm)	irradiane (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
300.00	0.00	1.3604	2.49
310.00	0.00	1.9255	2.12
320.00	0.00	2.6490	1.94
330.00	0.00	3.5525	1.94
340.00	0.00	4.6565	1.93
350.00	0.00	6.0017	1.93
360.00	0.00	7.6133	1.92
370.00	0.00	9.4994	1.92
380.00	0.00	11.6728	1.92
390.00	0.00	14.1421	1.84
400.00	0.00	16.8726	1.77
410.00	0.00	19.9123	1.69
420.00	0.00	23.2544	1.62
430.00	0.00	26.8917	1.55
440.00	0.00	30.8167	1.48
450.00	0.00	35.0184	1.47
460.00	0.00	39.4672	1.47
470.00	0.00	44.1590	1.47
480.00	0.00	49.0745	1.47
490.00	0.00	54.1920	1.47
500.00	0.00	59.4670	1.47
510.00	0.00	64.8774	1.46
520.00	0.00	70.4095	1.46
530.00	0.00	76.0369	1.46
540.00	0.00	81.7328	1.46
550.00	0.00	87.4698	1.46
560.00	0.00	93.1928	1.46
570.00	0.00	98.9033	1.46
580.00	0.00	104.5780	1.46
590.00	0.00	110.1949	1.45
600.00	0.00	115.7340	1.45
610.00	0.00	121.1247	1.45
620.00	0.00	126.3994	1.45
630.00	0.00	131.5449	1.45
640.00	0.00	136.5501	1.45
650.00	0.00	141.4061	1.45
660.00	0.00	146.1062	1.45
670.00	0.00	150.6452	1.45
680.00	0.00	155.0201	1.45
690.00	0.00	159.2290	1.45
700.00	0.00	163.2713	1.45
710.00	0.00	167.1474	1.44
720.00	0.00	170.7867	1.44
730.00	0.00	174.2514	1.44
740.00	0.00	177.5502	1.44
750.00	0.00	180.6841	1.44
760.00	0.00	183.6534	1.44
770.00	0.00	186.4578	1.44
780.00	0.00	189.0957	1.44
790.00	0.00	191.5645	1.44
800.00	0.00	193.8562	1.44
810.00	0.00	195.9277	1.44
820.00	0.00	197.8135	1.44
830.00	0.00	199.5058	1.44
840.00	0.00	200.9959	1.44
850.00	0.00	202.3301	1.44
860.00	0.00	203.4441	1.44
870.00	0.00	204.3257	1.44
880.00	0.00	204.9645	1.44
890.00	0.00	205.2533	1.44
900.00	0.00	205.2787	1.44
910.00	0.00	204.6042	3.50
920.00	0.00	204.7595	3.50
930.00	0.00	204.7904	3.50
940.00	0.00	204.7058	3.50
950.00	0.00	204.6300	3.50
960.00	0.00	204.4449	3.50
970.00	0.00	204.1556	3.50
980.00	0.00	203.7671	3.50
990.00	0.00	202.4842	3.50
1000.00	0.00	201.1088	3.50
[END_OF_LAMPDATA]

# wavelength (nm)	bandwidth (nm)	reflectance	uncertainty (%, k=2)
[PANELDATA]
350.00	0.00	0.9890	1.20
360.00	0.00	0.9890	1.20
370.00	0.00	0.9890	1.20
380.00	0.00	0.9880	1.20
390.00	0.00	0.9870	1.20
400.00	0.00	0.9880	0.50
410.00	0.00	0.9870	0.50
420.00	0.00	0.9900	0.50
430.00	0.00	0.9880	0.50
440.00	0.00	0.9890	0.50
450.00	0.00	0.9890	0.50
460.00	0.00	0.9900	0.50
470.00	0.00	0.9890	0.50
480.00	0.00	0.9890	0.50
490.00	0.00	0.9890	0.50
500.00	0.00	0.9880	0.50
510.00	0.00	0.9880	0.50
520.00	0.00	0.9880	0.50
530.00	0.00	0.9870	0.50
540.00	0.00	0.9870	0.50
550.00	0.00	0.9870	0.30
560.00	0.00	0.9860	0.30
570.00	0.00	0.9860	0.30
580.00	0.00	0.9850	0.30
590.00	0.00	0.9850	0.30
600.00	0.00	0.9850	0.30
610.00	0.00	0.9840	0.30
620.00	0.00	0.9840	0.30
630.00	0.00	0.9840	0.30
640.00	0.00	0.9830	0.30
650.00	0.00	0.9830	0.30
660.00	0.00	0.9830	0.30
670.00	0.00	0.9820	0.30
680.00	0.00	0.9820	0.30
690.00	0.00	0.9810	0.30
700.00	0.00	0.9820	0.30
710.00	0.00	0.9810	0.30
720.00	0.00	0.9800	0.30
730.00	0.00	0.9800	0.30
740.00	0.00	0.9800	0.30
750.00	0.00	0.9790	0.30
760.00	0.00	0.9790	0.30
770.00	0.00	0.9790	0.30
780.00	0.00	0.9770	0.30
790.00	0.00	0.9780	0.30
800.00	0.00	0.9770	0.30
810.00	0.00	0.9760	0.30
820.00	0.00	0.9750	0.30
830.00	0.00	0.9750	0.30
840.00	0.00	0.9760	0.30
850.00	0.00	0.9750	0.30
860.00	0.00	0.9740	0.30
870.00	0.00	0.9740	0.30
880.00	0.00	0.9750	0.30
890.00	0.00	0.9740	0.30
900.00	0.00	0.9740	0.30
910.00	0.00	0.9730	0.30
920.00	0.00	0.9730	0.30
930.00	0.00	0.9730	0.30
940.00	0.00	0.9720	0.30
950.00	0.00	0.9720	0.30
960.00	0.00	0.9720	0.30
970.00	0.00	0.9720	0.30
980.00	0.00	0.9710	0.30
990.00	0.00	0.9710	0.30
1000.00	0.00	0.9710	0.30
1010.00	0.00	0.9710	0.30
1020.00	0.00	0.9700	0.30
1030.00	0.00	0.9700	0.30
1040.00	0.00	0.9700	0.30
1050.00	0.00	0.9700	0.30
1060.00	0.00	0.9700	0.30
1070.00	0.00	0.9700	0.30
1080.00	0.00	0.9690	0.30
1090.00	0.00	0.9700	0.30
1100.00	0.00	0.9720	0.30
1110.00	0.00	0.9710	0.30
1120.00	0.00	0.9710	0.30
1130.00	0.00	0.9710	0.30
1140.00	0.00	0.9700	0.30
1150.00	0.00	0.9700	0.30
1160.00	0.00	0.9690	0.30
1170.00	0.00	0.9680	0.30
1180.00	0.00	0.9690	0.30
1190.00	0.00	0.9690	0.30
