!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2023-04-25 16:38:26

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAM_8595

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
0	302.16	0.000E+000	0.000E+000
1	305.49	2.245E-003	2.221E-003
2	308.83	2.520E-003	1.842E-003
3	312.16	-1.175E-003	1.523E-003
4	315.49	-1.088E-003	1.950E-003
5	318.83	2.816E-003	1.805E-003
6	322.16	1.593E-003	1.565E-003
7	325.50	6.355E-004	1.462E-003
8	328.83	-5.868E-004	8.450E-004
9	332.17	-7.270E-005	1.021E-003
10	335.50	3.778E-004	5.745E-004
11	338.84	-1.496E-004	4.998E-004
12	342.18	-3.052E-004	3.455E-004
13	345.51	-2.951E-004	4.486E-004
14	348.85	-1.721E-005	3.563E-004
15	352.19	-6.833E-005	3.037E-004
16	355.53	-2.549E-005	2.853E-004
17	358.87	4.978E-005	3.059E-004
18	362.20	1.132E-004	2.752E-004
19	365.54	7.324E-005	2.581E-004
20	368.88	9.535E-005	2.681E-004
21	372.22	-7.137E-007	2.486E-004
22	375.56	-7.705E-005	2.592E-004
23	378.91	-1.176E-004	2.537E-004
24	382.25	-1.282E-004	2.516E-004
25	385.59	-1.302E-004	2.488E-004
26	388.93	-1.311E-004	2.495E-004
27	392.27	-1.117E-004	2.472E-004
28	395.61	-9.937E-005	2.532E-004
29	398.96	-7.348E-005	2.406E-004
30	402.30	-6.769E-005	2.458E-004
31	405.64	-5.620E-005	2.392E-004
32	408.98	-3.817E-005	2.392E-004
33	412.33	-2.798E-005	2.385E-004
34	415.67	-1.726E-005	2.358E-004
35	419.01	-1.066E-005	2.356E-004
36	422.36	-4.079E-006	2.373E-004
37	425.70	9.418E-006	2.338E-004
38	429.05	1.995E-005	2.352E-004
39	432.39	1.848E-005	2.340E-004
40	435.73	2.122E-005	2.322E-004
41	439.08	1.206E-005	2.319E-004
42	442.42	1.923E-005	2.317E-004
43	445.77	4.206E-005	2.325E-004
44	449.11	8.993E-005	2.318E-004
45	452.46	1.351E-004	2.290E-004
46	455.80	1.688E-004	2.299E-004
47	459.15	1.847E-004	2.276E-004
48	462.49	1.902E-004	2.270E-004
49	465.83	1.830E-004	2.293E-004
50	469.18	1.657E-004	2.268E-004
51	472.52	1.606E-004	2.267E-004
52	475.87	1.621E-004	2.254E-004
53	479.21	2.046E-004	2.267E-004
54	482.56	2.673E-004	2.254E-004
55	485.90	3.428E-004	2.253E-004
56	489.25	4.028E-004	2.246E-004
57	492.59	4.430E-004	2.241E-004
58	495.94	4.703E-004	2.224E-004
59	499.28	4.933E-004	2.220E-004
60	502.63	5.127E-004	2.224E-004
61	505.97	5.243E-004	2.213E-004
62	509.31	5.369E-004	2.209E-004
63	512.66	5.441E-004	2.218E-004
64	516.00	5.499E-004	2.200E-004
65	519.35	5.530E-004	2.191E-004
66	522.69	5.556E-004	2.193E-004
67	526.03	5.537E-004	2.192E-004
68	529.38	5.470E-004	2.186E-004
69	532.72	5.500E-004	2.199E-004
70	536.06	5.636E-004	2.195E-004
71	539.40	5.993E-004	2.196E-004
72	542.75	6.559E-004	2.200E-004
73	546.09	7.172E-004	2.203E-004
74	549.43	7.722E-004	2.184E-004
75	552.77	8.048E-004	2.185E-004
76	556.11	8.271E-004	2.174E-004
77	559.45	8.377E-004	2.170E-004
78	562.79	8.466E-004	2.170E-004
79	566.13	8.567E-004	2.165E-004
80	569.47	8.623E-004	2.161E-004
81	572.81	8.732E-004	2.158E-004
82	576.15	8.718E-004	2.155E-004
83	579.49	8.822E-004	2.158E-004
84	582.83	8.848E-004	2.159E-004
85	586.17	8.935E-004	2.151E-004
86	589.51	8.951E-004	2.159E-004
87	592.85	8.934E-004	2.151E-004
88	596.18	8.853E-004	2.160E-004
89	599.52	8.656E-004	2.150E-004
90	602.86	8.501E-004	2.155E-004
91	606.19	8.310E-004	2.148E-004
92	609.53	8.163E-004	2.159E-004
93	612.86	8.029E-004	2.155E-004
94	616.20	8.201E-004	2.166E-004
95	619.53	8.527E-004	2.158E-004
96	622.86	9.194E-004	2.177E-004
97	626.20	9.939E-004	2.167E-004
98	629.53	1.082E-003	2.174E-004
99	632.86	1.154E-003	2.157E-004
100	636.19	1.215E-003	2.156E-004
101	639.52	1.258E-003	2.146E-004
102	642.85	1.291E-003	2.139E-004
103	646.18	1.316E-003	2.140E-004
104	649.51	1.338E-003	2.138E-004
105	652.84	1.362E-003	2.134E-004
106	656.17	1.383E-003	2.141E-004
107	659.50	1.405E-003	2.133E-004
108	662.82	1.426E-003	2.125E-004
109	666.15	1.454E-003	2.125E-004
110	669.48	1.473E-003	2.121E-004
111	672.80	1.493E-003	2.117E-004
112	676.13	1.516E-003	2.112E-004
113	679.45	1.539E-003	2.112E-004
114	682.77	1.557E-003	2.112E-004
115	686.09	1.579E-003	2.107E-004
116	689.42	1.599E-003	2.108E-004
117	692.74	1.620E-003	2.106E-004
118	696.06	1.636E-003	2.115E-004
119	699.38	1.644E-003	2.120E-004
120	702.69	1.651E-003	2.131E-004
