!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2025-06-13 13:16:17

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_7

[PANEL_ID]
SG3151/1

[DEVICE]
SAM_8595

# Correlated color temperature (K)
[LAMP_CCT]
2977.5

# wavelength (nm)	bandwidth (nm)	irradiance (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
1500.00	0.00	0.9700	0.29
1510.00	0.00	0.9700	0.29
1520.00	0.00	0.9700	0.29
1530.00	0.00	0.9700	0.29
1540.00	0.00	0.9700	0.29
1550.00	0.00	0.9700	0.29
1560.00	0.00	0.9690	0.29
1570.00	0.00	0.9700	0.29
1580.00	0.00	0.9690	0.29
1590.00	0.00	0.9690	0.29
1600.00	0.00	0.9690	0.29
1610.00	0.00	0.9680	0.29
1620.00	0.00	0.9670	0.29
1630.00	0.00	0.9670	0.29
1640.00	0.00	0.9660	0.29
1650.00	0.00	0.9640	0.29
1660.00	0.00	0.9610	0.48
1670.00	0.00	0.9590	0.48
1680.00	0.00	0.9570	0.48
1690.00	0.00	0.9530	0.48
1700.00	0.00	0.9490	0.47
[END_OF_PANELDATA]

[AMBIENT_TEMP]
21.0

# pixel no	wavelength (nm)	irradiance responsivity (unit depends on the device class)	uncertainty (%, k=2)	dark1	dark2 (content depends on the instrument class)	raw1	stdev1	raw2	stdev2
[CALDATA]
0	302.16	4	0.00	12	0.000000	64	0.00	32	0.00
1	305.49	0.177391	17.08	0.017334	0.028204	38.94	0.99	41.96	1.84
2	308.83	0.158980	17.03	0.017226	0.027845	48.54	0.88	46.96	1.86
3	312.16	0.158023	14.33	0.017235	0.027952	54.89	0.78	52.66	1.74
4	315.49	0.203613	9.12	0.017331	0.027538	72.24	0.80	72.26	1.54
5	318.83	0.251394	6.68	0.017291	0.028202	99.14	0.70	99.06	1.51
6	322.16	0.311789	5.31	0.017287	0.027699	137.19	0.78	136.66	1.58
7	325.50	0.388231	4.28	0.017261	0.027933	190.59	0.78	189.16	1.65
8	328.83	0.492144	3.29	0.017285	0.027836	262.44	0.97	262.66	1.50
9	332.17	0.606203	2.87	0.017293	0.027876	354.94	0.96	355.76	1.52
10	335.50	0.715947	2.59	0.017280	0.028015	464.84	0.98	463.66	1.43
11	338.84	0.828486	2.55	0.017264	0.027868	589.39	0.78	587.86	1.81
12	342.18	0.919078	2.41	0.017283	0.027764	714.94	0.92	713.46	1.64
13	345.51	0.975983	2.36	0.017266	0.027623	830.54	0.86	828.46	1.78
14	348.85	1.009042	2.29	0.017293	0.028045	924.69	0.84	928.26	1.81
15	352.19	0.994304	2.27	0.017278	0.027926	998.79	0.95	999.16	1.72
16	355.53	0.961524	2.27	0.017290	0.027767	1052.79	0.94	1051.46	1.87
17	358.87	0.931134	2.19	0.017282	0.027739	1096.44	0.95	1099.56	1.41
18	362.20	0.894362	2.22	0.017297	0.027816	1143.59	0.89	1144.16	1.73
19	365.54	0.870199	2.19	0.017283	0.027803	1204.14	0.91	1202.46	1.44
20	368.88	0.867334	2.17	0.017294	0.027975	1284.34	0.76	1286.16	1.54
21	372.22	0.877733	2.20	0.017282	0.027842	1396.89	1.00	1398.46	2.06
22	375.56	0.900911	2.16	0.017283	0.027850	1547.34	1.04	1544.06	1.57
23	378.91	0.950661	2.13	0.017290	0.027862	1739.09	0.73	1739.76	1.67
24	382.25	1.009908	2.14	0.017288	0.028073	1982.04	0.81	1980.06	1.82
25	385.59	1.086411	2.13	0.017297	0.027984	2278.69	0.75	2276.46	1.89
26	388.93	1.179180	2.11	0.017290	0.027881	2637.94	0.81	2636.06	1.69
27	392.27	1.288954	2.00	0.017290	0.027640	3065.99	0.96	3065.26	1.64
28	395.61	1.401490	1.87	0.017305	0.027549	3544.09	0.75	3541.66	1.91
29	398.96	1.511787	1.74	0.017293	0.027821	4058.24	1.02	4053.86	1.67
30	402.30	1.622737	1.71	0.017307	0.027572	4601.29	0.93	4602.16	1.74
31	405.64	1.721546	1.70	0.017297	0.027580	5167.04	0.95	5165.46	1.47
32	408.98	1.807414	1.69	0.017309	0.027705	5727.74	0.94	5726.66	1.78
33	412.33	1.870470	1.70	0.017299	0.027793	6249.69	0.78	6250.26	2.08
34	415.67	1.909676	1.69	0.017303	0.027938	6723.64	0.96	6724.16	1.69
35	419.01	1.925875	1.68	0.017295	0.027853	7137.74	0.92	7137.66	1.66
36	422.36	1.919985	1.68	0.017320	0.028126	7481.54	0.92	7481.26	1.74
37	425.70	1.896328	1.68	0.017280	0.027737	7761.79	1.03	7760.66	1.81
38	429.05	1.861022	1.67	0.017318	0.027810	7990.34	1.03	7989.36	1.65
39	432.39	1.820330	1.68	0.017306	0.027659	8186.69	0.93	8185.96	2.04
40	435.73	1.778841	1.67	0.017310	0.027999	8369.79	0.83	8369.46	1.60
41	439.08	1.742761	1.67	0.017300	0.027842	8563.09	1.08	8566.76	2.13
42	442.42	1.707077	1.67	0.017328	0.027830	8769.64	1.23	8773.76	2.17
43	445.77	1.673225	1.67	0.017286	0.027450	8992.74	0.88	8992.46	1.67
44	449.11	1.645031	1.66	0.017320	0.027446	9225.49	0.85	9228.26	1.92
45	452.46	1.621189	1.66	0.017308	0.027687	9475.69	1.03	9476.26	2.37
46	455.80	1.607764	1.66	0.017332	0.027726	9765.99	1.32	9771.36	2.30
47	459.15	1.602733	1.65	0.017320	0.027798	10112.09	1.17	10120.86	2.11
48	462.49	1.604750	1.65	0.017323	0.027781	10524.99	1.04	10530.46	1.83
49	465.83	1.618499	1.65	0.017311	0.027670	11017.14	0.90	11023.86	2.19
50	469.18	1.641849	1.65	0.017328	0.027779	11593.84	1.12	11599.96	1.78
51	472.52	1.676935	1.65	0.017322	0.027743	12257.79	1.17	12270.26	1.64
52	475.87	1.718769	1.65	0.017330	0.027723	12999.44	1.00	13016.36	1.92
53	479.21	1.761423	1.64	0.017315	0.027961	13784.29	1.15	13800.86	1.98
54	482.56	1.800882	1.64	0.017338	0.027811	14571.84	1.35	14591.96	2.04
55	485.90	1.836065	1.64	0.017316	0.027599	15360.74	1.23	15380.76	2.13
56	489.25	1.870905	1.64	0.017333	0.027918	16157.89	1.13	16184.76	1.82
57	492.59	1.906101	1.64	0.017331	0.027578	16982.09	1.27	17010.26	2.16
58	495.94	1.945661	1.64	0.017328	0.027868	17860.89	1.33	17893.26	2.24
59	499.28	1.988099	1.63	0.017323	0.027426	18792.09	1.30	18829.06	2.22
60	502.63	2.028671	1.64	0.017350	0.027650	19759.39	1.42	19801.96	1.98
61	505.97	2.069078	1.64	0.017331	0.027587	20767.64	1.57	20813.26	2.23
62	509.31	2.106806	1.63	0.017341	0.027961	21760.79	1.24	21818.06	2.37
63	512.66	2.142534	1.63	0.017338	0.027910	22744.34	1.51	22805.26	2.96
64	516.00	2.175661	1.63	0.017331	0.027637	23698.54	1.58	23771.16	2.37
65	519.35	2.200186	1.63	0.017333	0.027778	24591.14	1.73	24668.66	2.39
66	522.69	2.217455	1.63	0.017348	0.027694	25428.79	1.61	25516.06	3.02
67	526.03	2.229124	1.63	0.017335	0.027867	26223.84	1.55	26318.46	2.44
68	529.38	2.235234	1.63	0.017354	0.027676	26959.59	1.59	27062.46	2.87
69	532.72	2.235700	1.63	0.017333	0.027610	27607.74	2.07	27721.86	2.36
70	536.06	2.227812	1.63	0.017350	0.027770	28157.24	1.66	28277.46	2.80
71	539.40	2.205686	1.63	0.017335	0.027615	28517.49	2.09	28643.66	2.46
72	542.75	2.166239	1.63	0.017348	0.027679	28649.74	1.96	28782.26	2.57
73	546.09	2.109864	1.63	0.017338	0.027992	28541.64	1.61	28675.36	2.71
74	549.43	2.038838	1.63	0.017350	0.027635	28202.34	1.83	28333.66	2.36
75	552.77	1.963849	1.61	0.017328	0.027741	27764.49	1.88	27893.16	3.30
76	556.11	1.889551	1.59	0.017343	0.027719	27290.59	1.83	27416.76	2.74
77	559.45	1.818602	1.58	0.017340	0.027629	26821.69	1.65	26944.86	3.00
78	562.79	1.754887	1.58	0.017351	0.027757	26406.99	1.67	26527.26	2.99
79	566.13	1.697285	1.58	0.017341	0.027665	26048.44	1.56	26164.26	2.67
80	569.47	1.644010	1.58	0.017352	0.027607	25716.79	1.51	25830.96	2.38
81	572.81	1.595106	1.58	0.017328	0.027800	25429.84	1.56	25546.36	2.63
82	576.15	1.549532	1.58	0.017345	0.027645	25179.69	1.92	25293.36	2.79
83	579.49	1.507552	1.58	0.017337	0.027764	24955.34	1.63	25068.66	2.07
84	582.83	1.469821	1.58	0.017358	0.027530	24774.49	1.30	24888.36	2.96
85	586.17	1.435628	1.58	0.017334	0.027763	24633.14	1.49	24746.16	2.45
86	589.51	1.405054	1.58	0.017351	0.027745	24528.49	1.53	24642.96	2.39
87	592.85	1.379357	1.58	0.017331	0.027778	24467.59	1.44	24584.06	2.85
88	596.18	1.356549	1.58	0.017365	0.027764	24445.54	1.62	24560.26	2.58
89	599.52	1.336619	1.58	0.017335	0.027631	24460.84	1.60	24573.86	2.67
90	602.86	1.321713	1.58	0.017362	0.027726	24557.24	1.45	24676.56	2.49
91	606.19	1.311301	1.58	0.017330	0.027921	24735.74	1.70	24858.96	2.74
92	609.53	1.307060	1.58	0.017356	0.027937	25012.49	1.79	25145.86	2.50
93	612.86	1.308891	1.58	0.017357	0.027845	25401.04	1.52	25540.76	2.53
94	616.20	1.314374	1.58	0.017358	0.027872	25862.89	1.51	26006.76	2.45
95	619.53	1.320542	1.58	0.017339	0.027801	26337.79	1.48	26486.06	2.51
96	622.86	1.323385	1.58	0.017372	0.027739	26748.29	1.56	26907.76	2.53
97	626.20	1.319370	1.58	0.017344	0.027838	27032.99	1.84	27196.16	3.12
98	629.53	1.308687	1.58	0.017360	0.028028	27173.19	1.60	27339.56	2.78
99	632.86	1.294476	1.58	0.017347	0.027749	27220.94	1.61	27388.86	3.17
100	636.19	1.277306	1.58	0.017355	0.027543	27197.54	1.70	27364.16	3.11
101	639.52	1.260479	1.58	0.017351	0.028016	27163.79	1.37	27331.66	2.49
102	642.85	1.245947	1.58	0.017354	0.028105	27172.49	1.73	27338.36	2.66
103	646.18	1.233497	1.58	0.017347	0.027832	27213.54	1.39	27378.66	2.72
104	649.51	1.225112	1.58	0.017348	0.028018	27320.74	1.74	27492.86	2.54
105	652.84	1.217709	1.59	0.017353	0.027831	27476.84	1.53	27650.36	3.06
106	656.17	1.212024	1.59	0.017346	0.027929	27664.74	1.78	27841.96	2.78
107	659.50	1.206703	1.59	0.017351	0.028072	27857.89	1.88	28037.26	2.72
108	662.82	1.202501	1.59	0.017359	0.027675	28049.69	1.75	28229.36	2.63
109	666.15	1.197399	1.59	0.017353	0.027809	28196.94	1.79	28383.16	2.93
110	669.48	1.191512	1.59	0.017358	0.027738	28327.99	1.83	28516.16	2.91
111	672.80	1.183954	1.59	0.017337	0.027818	28415.89	2.04	28606.26	2.80
112	676.13	1.175225	1.59	0.017365	0.027907	28471.59	1.85	28662.56	2.68
113	679.45	1.166036	1.59	0.017338	0.027833	28510.59	1.57	28700.76	2.81
114	682.77	1.156927	1.59	0.017352	0.028004	28538.09	2.12	28730.36	2.45
115	686.09	1.147113	1.60	0.017355	0.027757	28542.59	1.47	28735.56	2.79
116	689.42	1.138946	1.60	0.017351	0.027628	28574.74	1.68	28771.36	2.74
117	692.74	1.131058	1.60	0.017347	0.028146	28611.94	1.78	28815.36	2.55
118	696.06	1.121843	1.60	0.017348	0.027713	28634.14	1.51	28832.26	2.53
119	699.38	1.112985	1.60	0.017346	0.028025	28644.69	1.84	28844.06	2.65
120	702.69	1.102032	1.60	0.017362	0.027698	28586.44	1.83	28787.46	2.84
121	706.01	1.087431	1.60	0.017347	0.027535	28432.59	1.75	28629.86	3.48
122	709.33	1.070560	1.60	0.017357	0.028036	28203.99	1.97	28399.66	2.64
123	712.65	1.051592	1.61	0.017353	0.027807	27902.64	1.75	28096.16	2.61
124	715.96	1.031159	1.61	0.017355	0.027670	27549.54	1.40	27740.56	2.94
125	719.28	1.011208	1.61	0.017339	0.027970	27197.49	1.54	27386.36	2.73
126	722.59	0.992376	1.61	0.017359	0.027824	26876.59	1.55	27058.66	2.48
127	725.90	0.975663	1.61	0.017350	0.027816	26591.59	1.80	26773.26	2.57
128	729.22	0.961170	1.61	0.017357	0.028084	26375.19	1.80	26548.26	1.98
129	732.53	0.947539	1.62	0.017342	0.028063	26162.54	1.76	26335.36	3.20
130	735.84	0.934743	1.62	0.017354	0.027696	25951.09	1.82	26131.46	2.61
131	739.15	0.920446	1.62	0.017333	0.027826	25728.54	1.54	25896.86	2.34
132	742.46	0.904857	1.62	0.017345	0.027906	25432.89	1.75	25600.56	2.81
133	745.76	0.887411	1.62	0.017342	0.027881	25081.94	1.36	25244.96	2.71
134	749.07	0.868625	1.63	0.017346	0.027954	24687.54	1.85	24844.06	2.88
135	752.38	0.847930	1.63	0.017340	0.027845	24227.64	1.56	24382.56	2.74
136	755.68	0.825702	1.63	0.017343	0.027833	23730.19	1.32	23876.86	2.16
137	758.99	0.803784	1.63	0.017330	0.027732	23222.69	1.32	23365.76	2.67
138	762.29	0.782726	1.64	0.017333	0.027769	22731.04	1.52	22869.46	2.50
139	765.59	0.763857	1.64	0.017335	0.027917	22296.34	1.54	22429.06	2.59
140	768.89	0.747307	1.64	0.017348	0.027847	21913.64	1.50	22045.06	2.42
141	772.19	0.732009	1.64	0.017347	0.027758	21562.59	1.49	21687.46	2.26
142	775.49	0.718320	1.65	0.017345	0.028044	21244.84	1.44	21365.16	2.05
143	778.79	0.704976	1.65	0.017323	0.027581	20926.64	1.52	21044.96	2.54
144	782.09	0.689914	1.65	0.017335	0.027788	20561.99	1.80	20675.36	2.32
145	785.39	0.673704	1.66	0.017343	0.027763	20152.74	1.34	20264.56	2.62
146	788.68	0.655159	1.66	0.017342	0.027805	19672.54	1.29	19779.86	2.02
147	791.98	0.633650	1.66	0.017337	0.027642	19098.59	1.42	19201.56	2.17
148	795.27	0.609520	1.67	0.017333	0.027820	18451.19	1.31	18544.06	2.38
149	798.56	0.583770	1.67	0.017325	0.028095	17742.64	1.11	17827.46	2.17
150	801.85	0.556951	1.67	0.017343	0.028167	16981.59	1.41	17064.66	2.18
151	805.14	0.529444	1.68	0.017336	0.028117	16206.84	1.17	16280.86	1.95
152	808.43	0.502266	1.68	0.017334	0.027870	15432.59	1.32	15498.76	2.73
153	811.72	0.476499	1.68	0.017332	0.027916	14682.79	1.39	14745.46	1.89
154	815.01	0.452272	1.69	0.017339	0.028168	13976.24	1.12	14033.16	1.77
155	818.29	0.429487	1.69	0.017321	0.028225	13323.24	1.17	13367.56	2.46
156	821.58	0.409180	1.70	0.017344	0.028001	12717.24	1.31	12763.16	1.79
157	824.86	0.390568	1.70	0.017338	0.027787	12175.59	1.21	12216.66	2.17
158	828.14	0.373647	1.70	0.017345	0.028084	11676.49	0.89	11715.96	1.84
159	831.42	0.357970	1.71	0.017318	0.027941	11221.54	1.03	11255.46	2.03
160	834.70	0.343776	1.71	0.017330	0.027870	10798.24	1.05	10832.96	2.05
161	837.98	0.330067	1.72	0.017335	0.027849	10397.09	1.11	10427.66	1.46
162	841.26	0.317344	1.72	0.017342	0.027748	10013.99	1.14	10045.36	2.30
163	844.54	0.304937	1.73	0.017331	0.027922	9645.04	1.12	9673.56	2.02
164	847.81	0.292415	1.73	0.017334	0.027954	9276.24	0.97	9298.76	2.01
165	851.08	0.280407	1.74	0.017334	0.028094	8910.99	1.11	8932.36	1.56
166	854.36	0.268854	1.74	0.017335	0.027855	8548.34	0.99	8572.66	2.29
167	857.63	0.257041	1.75	0.017329	0.028180	8188.19	1.19	8209.16	1.86
168	860.90	0.245639	1.76	0.017328	0.027946	7834.59	0.95	7854.46	1.90
169	864.17	0.234475	1.76	0.017321	0.027723	7488.89	1.12	7506.26	1.69
170	867.43	0.223661	1.77	0.017342	0.027971	7152.09	1.27	7167.46	1.80
171	870.70	0.213435	1.77	0.017321	0.027650	6834.14	0.82	6847.56	1.86
172	873.97	0.203674	1.78	0.017325	0.027805	6530.84	0.93	6544.06	1.91
173	877.23	0.194481	1.79	0.017318	0.027663	6245.14	1.01	6257.76	2.19
174	880.49	0.186072	1.79	0.017345	0.027742	5984.59	0.84	5995.86	1.71
175	883.75	0.178552	1.80	0.017324	0.028147	5746.24	1.12	5757.96	1.43
176	887.01	0.171406	1.81	0.017340	0.027921	5527.09	1.04	5535.26	1.54
177	890.27	0.164965	1.82	0.017318	0.027718	5322.19	0.95	5330.46	1.88
178	893.53	0.159176	1.82	0.017322	0.027686	5132.74	1.09	5141.26	2.05
179	896.78	0.153590	1.83	0.017312	0.027755	4951.19	0.88	4959.16	1.51
180	900.04	0.148416	1.84	0.017340	0.027939	4777.69	0.91	4787.66	1.75
181	903.29	0.143135	1.85	0.017323	0.028189	4612.69	0.89	4620.86	1.73
182	906.54	0.137979	1.86	0.017326	0.027958	4450.94	0.73	4457.46	1.80
183	909.79	0.133086	1.87	0.017316	0.028118	4293.49	0.93	4300.26	1.90
184	913.04	0.127880	1.87	0.017326	0.027742	4135.14	0.80	4136.96	1.64
185	916.29	0.123241	1.88	0.017316	0.027883	3980.54	0.90	3984.56	1.62
186	919.53	0.118535	1.89	0.017334	0.027691	3828.99	0.84	3832.46	1.64
187	922.78	0.113810	1.90	0.017315	0.027913	3678.54	0.88	3680.86	1.75
188	926.02	0.109338	1.91	0.017332	0.027902	3528.24	1.08	3533.36	1.78
189	929.26	0.104439	1.93	0.017306	0.027906	3374.19	0.92	3376.96	1.99
190	932.50	0.099512	1.93	0.017327	0.027909	3213.29	1.05	3216.66	1.30
191	935.74	0.094385	1.94	0.017303	0.028016	3046.04	1.01	3049.86	1.64
192	938.97	0.089283	1.96	0.017322	0.027782	2879.29	0.85	2883.66	2.03
193	942.21	0.084464	1.96	0.017319	0.027577	2723.09	0.82	2727.26	1.43
194	945.44	0.080191	1.97	0.017319	0.027728	2580.54	0.89	2586.46	1.40
195	948.67	0.076261	1.99	0.017298	0.028004	2453.54	0.96	2458.96	1.56
196	951.90	0.072738	2.00	0.017311	0.027890	2338.89	0.98	2343.86	1.66
197	955.13	0.069206	2.01	0.017306	0.027791	2229.89	0.98	2231.26	1.52
198	958.36	0.066067	2.04	0.017317	0.027992	2123.94	1.07	2126.56	1.87
199	961.59	0.063011	2.05	0.017289	0.027641	2026.54	0.84	2027.76	1.73
200	964.81	0.060187	2.06	0.017304	0.028006	1932.69	1.02	1934.76	1.74
201	968.03	0.057484	2.07	0.017309	0.027709	1845.14	0.81	1846.86	1.60
202	971.25	0.054751	2.09	0.017322	0.027941	1761.79	0.94	1760.56	1.49
203	974.47	0.052414	2.12	0.017306	0.027849	1679.54	0.80	1681.16	1.82
204	977.69	0.050035	2.13	0.017311	0.027928	1603.99	0.78	1604.46	1.81
205	980.90	0.047734	2.17	0.017307	0.027984	1526.74	0.91	1528.56	1.99
206	984.12	0.045359	2.17	0.017302	0.027893	1452.49	0.74	1453.86	1.41
207	987.33	0.043020	2.23	0.017309	0.027716	1376.64	1.04	1378.86	1.79
208	990.54	0.040506	2.27	0.017315	0.027838	1302.44	0.93	1301.86	1.75
209	993.75	0.000000	1.88	0.017302	0.027986	1230.54	0.80	1231.86	1.73
210	996.96	0.000000	1.92	0.017326	0.027952	1160.09	0.71	1159.16	1.85
211	1000.16	0.000000	1.93	0.017306	0.027707	1088.49	0.93	1090.16	1.64
212	1003.37	0.000000	1.95	0.017312	0.027748	1017.49	0.76	1019.56	1.57
213	1006.57	0.000000	2.00	0.017304	0.027751	947.34	0.98	949.26	1.66
214	1009.77	0.000000	2.10	0.017320	0.027976	876.29	1.02	877.66	2.00
215	1012.97	0.000000	2.10	0.017307	0.028148	806.39	0.81	805.76	1.76
216	1016.16	0.000000	2.24	0.017317	0.027772	732.79	0.91	730.96	2.03
217	1019.36	0.000000	2.16	0.017315	0.027768	655.69	0.69	657.66	1.53
218	1022.55	0.000000	2.22	0.017317	0.027891	581.59	1.01	582.66	1.43
219	1025.74	0.000000	2.44	0.017312	0.027921	505.54	0.93	504.96	1.73
220	1028.93	0.000000	2.57	0.017316	0.027633	433.04	0.89	434.36	1.69
221	1032.12	0.000000	2.62	0.017295	0.027946	367.14	0.90	368.36	1.47
222	1035.31	0.000000	2.92	0.017310	0.028230	307.64	0.80	307.96	1.55
