!FRM4SOC_CP
!RADCAL
# radiometric calibration coefs & linearity, lamp and panel data

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2025-06-13 13:13:52

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[LAMP_ID]
TO_7

[PANEL_ID]
SG3151/1

[DEVICE]
SAM_8166

# Correlated color temperature (K)
[LAMP_CCT]
2977.5

# wavelength (nm)	bandwidth (nm)	irradiance (mW/m2/nm)	uncertainty (%, k=2)
[LAMPDATA]
1500.00	0.00	0.9700	0.29
1510.00	0.00	0.9700	0.29
1520.00	0.00	0.9700	0.29
1530.00	0.00	0.9700	0.29
1540.00	0.00	0.9700	0.29
1550.00	0.00	0.9700	0.29
1560.00	0.00	0.9690	0.29
1570.00	0.00	0.9700	0.29
1580.00	0.00	0.9690	0.29
1590.00	0.00	0.9690	0.29
1600.00	0.00	0.9690	0.29
1610.00	0.00	0.9680	0.29
1620.00	0.00	0.9670	0.29
1630.00	0.00	0.9670	0.29
1640.00	0.00	0.9660	0.29
1650.00	0.00	0.9640	0.29
1660.00	0.00	0.9610	0.48
1670.00	0.00	0.9590	0.48
1680.00	0.00	0.9570	0.48
1690.00	0.00	0.9530	0.48
1700.00	0.00	0.9490	0.47
[END_OF_PANELDATA]

[AMBIENT_TEMP]
21.0

# pixel no	wavelength (nm)	irradiance responsivity (unit depends on the device class)	uncertainty (%, k=2)	dark1	dark2 (content depends on the instrument class)	raw1	stdev1	raw2	stdev2
[CALDATA]
0	305.10	4	0.00	12	0.000000	64	0.00	32	0.00
1	308.37	0.580930	4.81	0.020026	0.027088	160.90	0.86	162.06	1.65
2	311.64	0.614191	4.31	0.020077	0.026742	190.75	0.79	191.76	1.69
3	314.91	0.654981	4.45	0.019895	0.026660	230.40	0.73	229.36	2.12
4	318.19	0.730735	3.62	0.020020	0.027078	282.40	0.69	282.26	1.93
5	321.46	0.804486	3.22	0.019922	0.026611	347.45	0.78	345.56	1.88
6	324.73	0.921637	2.97	0.020073	0.026789	431.85	0.92	433.66	1.98
7	328.00	1.030746	2.57	0.019939	0.026589	537.60	0.84	537.46	1.60
8	331.28	1.158215	2.49	0.020060	0.026704	664.45	0.83	664.36	1.75
9	334.55	1.284665	2.39	0.019919	0.027085	811.25	0.66	809.76	1.58
10	337.83	1.398404	2.31	0.020053	0.027215	967.35	0.91	965.16	1.45
11	341.11	1.492416	2.34	0.019919	0.027096	1118.60	0.86	1120.86	2.15
12	344.38	1.544315	2.31	0.020049	0.026835	1256.80	0.74	1262.96	2.17
