!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-05-04 19:56:59

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAM_8166

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
146	785.20	3.254E-003	2.006E-004
147	788.48	3.315E-003	2.005E-004
148	791.75	3.375E-003	2.005E-004
149	795.03	3.425E-003	2.006E-004
150	798.30	3.475E-003	2.006E-004
151	801.57	3.514E-003	2.004E-004
152	804.84	3.549E-003	2.006E-004
153	808.11	3.573E-003	2.005E-004
154	811.38	3.592E-003	2.007E-004
155	814.65	3.607E-003	2.004E-004
156	817.92	3.621E-003	2.006E-004
157	821.19	3.611E-003	2.006E-004
158	824.46	3.586E-003	2.006E-004
159	827.72	3.544E-003	2.003E-004
160	830.99	3.501E-003	2.005E-004
161	834.25	3.482E-003	2.004E-004
162	837.52	3.491E-003	2.007E-004
163	840.78	3.528E-003	2.010E-004
164	844.04	3.590E-003	2.017E-004
165	847.31	3.664E-003	2.024E-004
166	850.57	3.751E-003	2.029E-004
167	853.83	3.839E-003	2.040E-004
168	857.09	3.918E-003	2.042E-004
169	860.35	4.001E-003	2.057E-004
170	863.60	4.082E-003	2.051E-004
171	866.86	4.164E-003	2.052E-004
172	870.12	4.247E-003	2.067E-004
173	873.37	4.325E-003	2.066E-004
174	876.63	4.389E-003	2.059E-004
175	879.88	4.456E-003	2.061E-004
176	883.13	4.522E-003	2.061E-004
177	886.38	4.591E-003	2.064E-004
178	889.63	4.647E-003	2.056E-004
179	892.88	4.699E-003	2.055E-004
180	896.13	4.741E-003	2.060E-004
181	899.38	4.767E-003	2.045E-004
182	902.63	4.781E-003	2.049E-004
183	905.87	4.786E-003	2.034E-004
184	909.12	4.781E-003	2.036E-004
185	912.36	4.764E-003	2.039E-004
186	915.61	4.701E-003	2.024E-004
187	918.85	4.608E-003	2.020E-004
188	922.09	4.446E-003	2.009E-004
189	925.33	4.227E-003	2.003E-004
190	928.57	3.925E-003	2.010E-004
191	931.81	3.551E-003	2.029E-004
192	935.05	3.141E-003	2.045E-004
193	938.28	2.675E-003	2.097E-004
194	941.52	2.224E-003	2.074E-004
195	944.75	1.708E-003	2.074E-004
196	947.98	1.100E-003	2.093E-004
197	951.21	3.139E-004	2.062E-004
198	954.45	-4.228E-004	2.049E-004
199	957.68	-1.051E-003	2.084E-004
200	960.90	-1.454E-003	2.091E-004
201	964.13	-1.397E-003	2.071E-004
202	967.36	-1.068E-003	2.149E-004
203	970.58	-5.897E-004	2.222E-004
204	973.81	1.034E-004	2.299E-004
205	977.03	6.518E-004	2.372E-004
206	980.25	1.326E-003	2.856E-004
207	983.47	2.047E-003	2.734E-004
208	986.69	2.619E-003	2.989E-004
209	989.91	2.834E-003	3.315E-004
210	993.13	3.234E-003	3.401E-004
211	996.34	3.707E-003	3.297E-004
212	999.56	3.776E-003	4.263E-004
213	1002.77	3.494E-003	3.654E-004
214	1005.98	3.413E-003	4.929E-004
215	1009.19	3.317E-003	3.840E-004
216	1012.40	2.995E-003	5.319E-004
217	1015.61	2.867E-003	4.734E-004
218	1018.82	2.141E-003	5.398E-004
219	1022.02	1.862E-003	6.421E-004
220	1025.23	1.961E-003	6.856E-004
221	1028.43	5.857E-004	9.726E-004
222	1031.63	1.096E-004	7.910E-004
223	1034.83	1.810E-003	9.830E-004
224	1038.03	1.418E-003	9.384E-004
225	1041.23	1.506E-003	9.467E-004
226	1044.42	2.390E-003	1.075E-003
227	1047.62	4.459E-003	1.193E-003
228	1050.81	2.360E-003	1.170E-003
229	1054.00	5.165E-003	1.409E-003
230	1057.20	6.267E-003	2.001E-003
231	1060.39	1.319E-003	1.715E-003
232	1063.57	2.400E-003	1.937E-003
233	1066.76	7.851E-003	4.543E-003
234	1069.95	3.761E-003	5.448E-003
235	1073.13	4.669E-003	6.072E-003
236	1076.31	-4.969E-003	5.443E-003
237	1079.49	-3.031E-003	6.255E-003
238	1082.67	3.338E-002	1.892E-002
239	1085.85	-1.979E-002	1.156E-002
240	1089.03	-3.088E-002	1.807E-002
241	1092.20	-1.146E-002	1.393E-002
242	1095.37	-1.904E-002	2.543E-002
243	1098.55	4.553E-002	4.018E-002
244	1101.72	2.698E+000	4.171E+000
245	1104.89	-2.358E-002	7.378E-002
246	1108.05	2.485E-003	1.503E-001
247	1111.22	-1.680E-002	2.994E-002
248	1114.38	-2.941E-002	3.039E-002
249	1117.55	6.649E-003	2.443E-002
250	1120.71	2.570E-002	1.592E-002
251	1123.87	-2.633E-004	1.868E-002
252	1127.03	-1.514E-002	1.361E-002
253	1130.18	-4.283E-003	2.065E-002
254	1133.34	-2.212E-002	2.266E-002
255	1136.49	-7.799E-002	4.300E-002
[END_OF_CALDATA]
