# Example data set collected in the Marsdiep at the NIOZ jetty
#
# This row is empty
# This row is empty
# Location: South of Texel island, the Netherlands
# Latitude: 53.001788
# Longitude:  4.789151
# Date, Time: 4/9/2023, 14:40:00 UTC
# Secchi Depth, [m]: n. a.
# Air Temperature, [degC]: n. a.
# Sea Temperature, [degC]: n. a.
# Wind Speed, [m/s]: 5.4
# Wind Direction, [deg]: n. a.
# Depth, [m]: n. a.
# 
"Wavelength, [nm]","Sky Radiance, [mW/(m^2 nm sr)]","Upwelling Radiance, [mW/(m^2 nm sr)]","Downwelling Irradiance, [mW/(m^2 nm)]"
440,53.022,3.9942,615.88
441,53.44,4.0774,623.83
442,53.858,4.1607,632.17
443,54.3,4.2551,641.36
444,54.752,4.3496,650.56
445,55.204,4.444,659.76
446,55.585,4.5336,667.45
447,55.842,4.621,675.08
448,56.099,4.7084,682.71
449,56.356,4.7898,688.64
450,56.405,4.8597,693.51
451,56.454,4.9297,698.39
452,56.503,4.9994,702.43
453,56.435,5.048,704.29
454,56.302,5.0966,706.15
455,56.168,5.1452,708.01
456,56.031,5.1969,709.91
457,55.885,5.2501,711.8
458,55.739,5.3032,713.7
459,55.593,5.3533,715.09
460,55.361,5.3975,716.14
461,55.122,5.4418,717.19
462,54.883,5.4859,717.66
463,54.601,5.5195,716.39
464,54.286,5.5531,715.12
465,53.97,5.5867,713.85
466,53.656,5.6209,712.73
467,53.349,5.6554,711.63
468,53.042,5.6899,710.52
469,52.735,5.7317,710.66
470,52.526,5.7877,711.76
471,52.335,5.8437,712.85
472,52.144,5.8997,714.24
473,51.982,5.9658,716.66
474,51.85,6.0318,719.07
475,51.718,6.0979,721.49
476,51.573,6.1585,723.62
477,51.334,6.2164,725.72
478,51.096,6.2742,727.82
479,50.857,6.3203,727.4
480,50.467,6.3422,724.81
481,50.031,6.3641,722.21
482,49.594,6.386,719
483,49.14,6.3844,713.21
484,48.66,6.3825,707.43
485,48.18,6.3807,701.64
486,47.711,6.4006,699.25
487,47.448,6.432,697.45
488,47.185,6.4635,695.65
489,46.923,6.5087,696.72
490,46.795,6.5836,700.57
491,46.728,6.6584,704.42
492,46.662,6.7333,707.94
493,46.555,6.7865,709.75
