# Example data set collected in the Marsdiep at the NIOZ jetty
#
# This row is empty
# This row is empty
# Location: South of Texel island, the Netherlands
# Latitude: 53.001788
# Longitude:  4.789151
# Date, Time: 4/9/2023, 9:40:00 UTC
# Secchi Depth, [m]: n. a.
# Air Temperature, [degC]: n. a.
# Sea Temperature, [degC]: n. a.
# Wind Speed, [m/s]: 5.4
# Wind Direction, [deg]: n. a.
# Depth, [m]: n. a.
# 
"Wavelength, [nm]","Sky Radiance, [mW/(m^2 nm sr)]","Upwelling Radiance, [mW/(m^2 nm sr)]","Downwelling Irradiance, [mW/(m^2 nm)]"
350,90.065,8.2634,291.26
351,91.004,8.4439,296.62
352,91.654,8.6244,300.24
353,91.748,8.7192,301.34
354,91.841,8.7971,302.45
355,91.934,8.8751,303.52
356,91.812,8.9776,304.1
357,91.687,9.1028,304.68
358,91.562,9.228,305.25
359,92.553,9.3861,309.3
360,94.183,9.6778,314.53
361,95.813,9.9696,319.76
362,97.683,10.261,327.39
363,100.16,10.6,338.44
364,102.64,10.944,349.49
365,105.13,11.289,360.14
366,106.17,11.54,365.92
367,107.1,11.717,371.7
368,108.04,11.894,377.49
369,108.09,12.04,378.21
370,107.48,12.086,377.19
371,106.88,12.132,376.17
372,106.34,12.178,375.47
373,106.07,12.258,375.26
374,105.79,12.342,375.05
375,105.52,12.426,374.93
376,105.08,12.479,376.08
377,104.63,12.509,377.23
378,104.17,12.54,378.38
379,103.11,12.541,375.18
380,101.48,12.462,370.45
381,99.844,12.383,365.72
382,98.353,12.304,361.62
383,97.628,12.332,358.46
384,96.904,12.366,355.3
385,96.179,12.4,352.79
386,96.743,12.552,359.37
387,97.628,12.778,365.95
388,98.514,13.004,372.53
389,99.275,13.222,376.49
390,99.882,13.42,379.48
391,100.49,13.618,382.48
392,101.26,13.815,387.24
393,103.69,14.279,394.74
394,106.12,14.751,402.24
395,108.55,15.224,410.82
396,113.26,16.021,437.53
397,118.81,17.001,464.23
398,124.37,17.98,490.93
399,129.85,18.933,517.51
400,135.21,19.825,544.03
401,140.56,20.717,570.55
402,145.87,21.609,591.16
403,148.09,22.058,602.14
404,150.32,22.5,613.12
405,152.54,22.941,623.85
406,153.81,23.273,628.99
407,154.57,23.548,634.13
408,155.34,23.822,639.28
409,156.09,24.101,645.98
410,156.79,24.39,653.35
411,157.5,24.679,660.71
412,158.2,24.967,667.13
413,158.34,25.15,671.89
414,158.45,25.332,676.66
415,158.55,25.514,681.32
416,158.2,25.611,682.19
417,157.53,25.666,683.05
418,156.86,25.72,683.92
419,156.09,25.759,683.39
420,154.99,25.765,682.23
421,153.89,25.772,681.07
422,152.78,25.777,678.67
423,151.11,25.645,673.94
424,149.35,25.512,669.21
425,147.59,25.379,664.47
426,146.09,25.26,658.41
427,144.83,25.147,652.35
428,143.57,25.035,646.29
429,142.57,25.039,646.42
430,143.02,25.265,649.65
431,143.47,25.491,652.89
432,143.92,25.72,659.16
433,145.31,26.241,671.72
434,146.93,26.761,684.28
435,148.55,27.281,696.84
436,150.16,27.773,708.47
437,151.75,28.252,720.08
438,153.34,28.731,731.69
439,154.93,29.215,741.94
440,156.5,29.708,751.44
441,158.08,30.202,760.93
442,159.65,30.696,770.87
443,161.31,31.252,781.82
444,162.99,31.807,792.78
445,164.68,32.363,803.73
446,166.15,32.862,812.87
447,167.23,33.334,821.93
448,168.32,33.807,830.99
449,169.41,34.231,837.93
450,169.87,34.563,843.56
451,170.34,34.896,849.2
452,170.81,35.227,853.83
453,170.95,35.417,855.89
454,170.9,35.606,857.94
455,170.85,35.795,859.99
456,170.78,36.001,862.06
457,170.66,36.215,864.14
458,170.53,36.429,866.21
459,170.41,36.624,867.69
460,170.05,36.784,868.75
461,169.67,36.944,869.81
462,169.29,37.103,870.19
463,168.75,37.172,868.52
464,168.09,37.241,866.86
465,167.43,37.31,865.19
466,166.78,37.385,863.65
467,166.18,37.465,862.12
468,165.58,37.544,860.59
469,164.98,37.662,860.68
470,164.7,37.855,862.02
471,164.48,38.048,863.36
472,164.27,38.241,865.05
473,164.11,38.488,867.95
474,164.03,38.735,870.86
475,163.94,38.982,873.76
476,163.81,39.178,876.25
477,163.34,39.348,878.68
478,162.88,39.519,881.11
479,162.41,39.623,880.36
480,161.41,39.589,876.88
481,160.24,39.556,873.4
482,159.07,39.522,869.19
483,157.84,39.326,861.96
484,156.53,39.128,854.74
485,155.21,38.93,847.52
486,153.94,38.881,844.42
487,153.35,38.911,842.03
488,152.77,38.941,839.65
489,152.18,39.046,840.78
490,152.02,39.313,845.33
491,152.03,39.581,849.87
492,152.05,39.849,853.98
493,151.94,40.011,855.96
494,151.57,40.171,857.93
495,151.2,40.331,859.9
496,150.82,40.381,858.4
497,150.07,40.367,856.14
498,149.31,40.354,853.89
499,148.55,40.342,851.37
500,147.85,40.33,848.56
501,147.17,40.319,845.75
502,146.5,40.308,843.39
503,145.9,40.413,843.83
504,145.51,40.523,844.28
505,145.11,40.632,844.72
506,144.72,40.733,845.51
507,144.12,40.828,846.38
508,143.5,40.923,847.26
509,142.88,40.954,846.14
510,141.98,40.828,842.57
511,140.82,40.702,839
512,139.66,40.575,835.08
513,138.5,40.363,828.24
514,137.36,40.145,821.39
515,136.22,39.927,814.55
516,135.07,39.843,811.27
517,134.49,39.845,809.09
518,134.04,39.846,806.91
519,133.59,39.922,807.24
520,133.38,40.199,811.02
521,133.44,40.476,814.8
522,133.51,40.754,818.56
523,133.58,41.015,821.99
524,133.67,41.274,825.43
525,133.77,41.533,828.86
526,133.87,41.764,831.64
527,133.87,41.975,834.17
528,133.84,42.186,836.7
529,133.8,42.389,839.19
530,133.72,42.567,841.63
531,133.55,42.745,844.07
532,133.39,42.923,846.38
533,133.22,42.984,846.12
534,132.75,43.034,845.85
535,132.28,43.084,845.59
536,131.81,43.102,844.34
537,131.3,43.096,842.68
538,130.79,43.09,841.02
539,130.27,43.091,839.62
540,129.79,43.118,838.7
541,129.4,43.145,837.78
542,129.02,43.172,836.88
543,128.63,43.272,837.58
544,128.39,43.38,838.27
545,128.16,43.488,838.97
546,127.93,43.595,839.71
547,127.66,43.702,840.47
548,127.35,43.808,841.23
549,127.03,43.906,841.71
