!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2023-04-06 09:02:55

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[DEVICE]
CLASS_HYPEROCR_IRRADIANCE

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
146	685.00	2.610E-003	5.050E-004
147	687.50	2.624E-003	5.124E-004
148	690.00	2.644E-003	5.070E-004
149	692.50	2.659E-003	5.130E-004
150	695.00	2.678E-003	5.199E-004
151	697.50	2.700E-003	5.147E-004
152	700.00	2.723E-003	4.919E-004
153	702.50	2.750E-003	4.811E-004
154	705.00	2.780E-003	4.734E-004
155	707.50	2.807E-003	4.605E-004
156	710.00	2.833E-003	4.450E-004
157	712.50	2.860E-003	4.352E-004
158	715.00	2.879E-003	4.240E-004
159	717.50	2.895E-003	4.214E-004
160	720.00	2.906E-003	4.187E-004
161	722.50	2.914E-003	4.032E-004
162	725.00	2.913E-003	4.081E-004
163	727.50	2.909E-003	4.076E-004
164	730.00	2.902E-003	3.982E-004
165	732.50	2.889E-003	4.049E-004
166	735.00	2.882E-003	4.177E-004
167	737.50	2.893E-003	4.135E-004
168	740.00	2.919E-003	3.890E-004
169	742.50	2.955E-003	3.933E-004
170	745.00	3.005E-003	3.889E-004
171	747.50	3.060E-003	3.885E-004
172	750.00	3.117E-003	3.965E-004
173	752.50	3.181E-003	4.034E-004
174	755.00	3.250E-003	4.041E-004
175	757.50	3.316E-003	3.994E-004
176	760.00	3.383E-003	3.987E-004
177	762.50	3.448E-003	4.063E-004
178	765.00	3.520E-003	4.272E-004
179	767.50	3.592E-003	4.511E-004
180	770.00	3.661E-003	4.725E-004
181	772.50	3.731E-003	4.783E-004
182	775.00	3.802E-003	4.896E-004
183	777.50	3.869E-003	4.877E-004
184	780.00	3.930E-003	4.835E-004
185	782.50	3.988E-003	5.026E-004
186	785.00	4.047E-003	5.196E-004
187	787.50	4.105E-003	5.277E-004
188	790.00	4.159E-003	5.275E-004
189	792.50	4.204E-003	5.264E-004
190	795.00	4.255E-003	5.376E-004
191	797.50	4.307E-003	5.388E-004
192	800.00	4.355E-003	5.321E-004
193	802.50	4.391E-003	5.311E-004
194	805.00	4.431E-003	5.466E-004
195	807.50	4.466E-003	5.535E-004
196	810.00	4.497E-003	5.485E-004
197	812.50	4.525E-003	5.266E-004
198	815.00	4.542E-003	5.434E-004
199	817.50	4.556E-003	5.527E-004
200	820.00	4.564E-003	5.465E-004
201	822.50	4.566E-003	5.314E-004
202	825.00	4.552E-003	5.571E-004
203	827.50	4.525E-003	5.901E-004
204	830.00	4.492E-003	6.197E-004
205	832.50	4.465E-003	6.259E-004
206	835.00	4.449E-003	6.445E-004
207	837.50	4.457E-003	6.584E-004
208	840.00	4.485E-003	6.611E-004
209	842.50	4.525E-003	6.487E-004
210	845.00	4.557E-003	6.466E-004
211	847.50	4.609E-003	6.253E-004
212	850.00	4.664E-003	5.988E-004
213	852.50	4.709E-003	5.831E-004
214	855.00	4.761E-003	5.695E-004
215	857.50	4.825E-003	5.573E-004
216	860.00	4.891E-003	5.446E-004
217	862.50	4.949E-003	5.242E-004
218	865.00	5.001E-003	5.377E-004
219	867.50	5.059E-003	5.382E-004
220	870.00	5.118E-003	5.316E-004
221	872.50	5.172E-003	5.198E-004
222	875.00	5.226E-003	5.323E-004
223	877.50	5.280E-003	5.301E-004
224	880.00	5.337E-003	5.352E-004
225	882.50	5.392E-003	5.501E-004
226	885.00	5.436E-003	5.351E-004
227	887.50	5.485E-003	5.554E-004
228	890.00	5.536E-003	5.753E-004
229	892.50	5.586E-003	5.840E-004
230	895.00	5.633E-003	5.977E-004
231	897.50	5.674E-003	5.556E-004
232	900.00	5.706E-003	5.560E-004
233	902.50	5.371E-003	1.590E-003
234	905.00	5.616E-003	7.267E-004
235	907.50	5.629E-003	7.309E-004
236	910.00	5.345E-003	1.037E-003
237	912.50	5.352E-003	1.065E-003
238	915.00	5.340E-003	1.122E-003
239	917.50	5.300E-003	1.203E-003
240	920.00	5.264E-003	1.279E-003
241	922.50	5.176E-003	1.409E-003
242	925.00	5.049E-003	1.560E-003
243	927.50	4.892E-003	1.735E-003
244	930.00	4.717E-003	1.927E-003
245	932.50	4.514E-003	2.144E-003
246	935.00	4.303E-003	2.377E-003
247	937.50	4.055E-003	2.603E-003
248	940.00	3.850E-003	2.870E-003
249	942.50	3.589E-003	3.179E-003
250	945.00	3.329E-003	3.518E-003
251	947.50	3.049E-003	3.924E-003
252	950.00	2.677E-003	4.339E-003
253	952.50	2.260E-003	4.836E-003
254	955.00	1.875E-003	5.299E-003
255	957.50	1.513E-003	5.696E-003
[END_OF_CALDATA]
