!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2023-04-06 09:02:55

[CALLAB]
Tartu Observatory

[USER]
Riho Vendt

[DEVICE]
CLASS_RAMSES_RADIANCE

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
0	320.00	-1.222E-003	1.130E-002
1	322.50	-7.453E-004	7.852E-003
2	325.00	-4.265E-004	5.745E-003
3	327.50	-3.024E-004	4.254E-003
4	330.00	-4.523E-005	3.242E-003
5	332.50	1.376E-004	2.607E-003
6	335.00	2.143E-004	2.126E-003
7	337.50	2.288E-004	1.755E-003
8	340.00	2.369E-004	1.538E-003
9	342.50	2.400E-004	1.377E-003
10	345.00	2.354E-004	1.242E-003
11	347.50	2.639E-004	1.141E-003
12	350.00	2.836E-004	1.087E-003
13	352.50	3.007E-004	1.075E-003
14	355.00	3.251E-004	1.083E-003
15	357.50	3.428E-004	1.100E-003
16	360.00	3.437E-004	1.079E-003
17	362.50	3.404E-004	1.058E-003
18	365.00	3.306E-004	1.038E-003
19	367.50	3.148E-004	1.041E-003
20	370.00	2.769E-004	1.021E-003
21	372.50	2.287E-004	1.008E-003
22	375.00	1.835E-004	1.003E-003
23	377.50	1.445E-004	9.971E-004
24	380.00	1.072E-004	9.846E-004
25	382.50	8.069E-005	9.787E-004
26	385.00	7.190E-005	9.682E-004
27	387.50	6.415E-005	9.596E-004
28	390.00	6.148E-005	9.552E-004
29	392.50	5.847E-005	9.427E-004
30	395.00	5.622E-005	9.302E-004
31	397.50	5.446E-005	9.117E-004
32	400.00	5.539E-005	8.928E-004
33	402.50	5.610E-005	8.724E-004
34	405.00	5.385E-005	8.551E-004
35	407.50	5.434E-005	8.360E-004
36	410.00	5.425E-005	8.128E-004
37	412.50	5.494E-005	7.910E-004
38	415.00	5.598E-005	7.705E-004
39	417.50	5.937E-005	7.502E-004
40	420.00	6.242E-005	7.284E-004
41	422.50	6.794E-005	7.140E-004
42	425.00	7.278E-005	7.005E-004
43	427.50	7.695E-005	6.921E-004
44	430.00	8.172E-005	6.868E-004
45	432.50	8.483E-005	6.783E-004
46	435.00	8.764E-005	6.688E-004
47	437.50	9.128E-005	6.582E-004
48	440.00	9.698E-005	6.439E-004
49	442.50	1.058E-004	6.285E-004
50	445.00	1.180E-004	6.129E-004
51	447.50	1.339E-004	6.039E-004
52	450.00	1.520E-004	6.043E-004
53	452.50	1.705E-004	6.124E-004
54	455.00	1.875E-004	6.229E-004
