[Spectrum]
Version            = 1
IDData             = TO_2022-06-27_09-45-19
IDDevice           = SAM_8595
IDDataType         = SPECTRUM
IDDataTypeSub1     = CAL
IDDataTypeSub2     = Air
IDDataTypeSub3     = 
DateTime           = 2022-06-27 09:45:19
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = 
MethodName         = 
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2018-05-31_15-17-33_914_682
IDDataCal = 
IntegrationTime = 32
PathLength = +INF
Temperature = +NAN
 185 0.125448 0.002297 0
 186 0.120727 0.002210 0
 187 0.115906 0.002122 0
 188 0.111108 0.002035 0
 189 0.106362 0.001948 0
 190 0.101334 0.001856 0
 191 0.096143 0.001762 0
 192 0.090960 0.001666 0
 193 0.086088 0.001578 0
 194 0.081555 0.001496 0
 195 0.077695 0.001424 0
 196 0.074056 0.001358 0
 197 0.070480 0.001294 0
 198 0.067206 0.001234 0
 199 0.064248 0.001178 0
 200 0.061229 0.001123 0
 201 0.058576 0.001076 0
 202 0.055883 0.001027 0
 203 0.053381 0.000983 0
 204 0.051125 0.000940 0
 205 0.048376 0.000891 0
 206 0.046276 0.000854 0
 207 0.044088 0.000813 0
 208 0.041598 0.000767 0
 209 0.039346 0.000728 0
 210 0.037177 0.000688 0
 211 0.034908 0.000646 0
 212 0.000000 0.000000 0
 213 0.000000 0.000000 0
 214 0.000000 0.000000 0
 215 0.000000 0.000000 0
 216 0.000000 0.000000 0
 217 0.000000 0.000000 0
 218 0.000000 0.000000 0
 219 0.000000 0.000000 0
 220 0.000000 0.000000 0
 221 0.000000 0.000000 0
 222 0.000000 0.000000 0
 223 0.000000 0.000000 0
 224 0.000000 0.000000 0
 225 0.000000 0.000000 0
 226 0.000000 0.000000 0
 227 0.000000 0.000000 0
 228 0.000000 0.000000 0
 229 0.000000 0.000000 0
 230 0.000000 0.000000 0
 231 0.000000 0.000000 0
 232 0.000000 0.000000 0
 233 0.000000 0.000000 0
 234 0.000000 0.000000 0
 235 0.000000 0.000000 0
 236 0.000000 0.000000 0
 237 0.000000 0.000000 0
 238 0.000000 0.000000 0
 239 0.000000 0.000000 0
 240 0.000000 0.000000 0
 241 0.000000 0.000000 0
 242 0.000000 0.000000 0
 243 0.000000 0.000000 0
 244 0.000000 0.000000 0
 245 0.000000 0.000000 0
 246 0.000000 0.000000 0
 247 0.000000 0.000000 0
 248 0.000000 0.000000 0
 249 0.000000 0.000000 0
 250 0.000000 0.000000 0
 251 0.000000 0.000000 0
 252 0.000000 0.000000 0
 253 0.000000 0.000000 0
 254 0.000000 0.000000 0
 255 0.000000 0.000000 0
[END] of [DATA]
[END] of [Spectrum]
