[Spectrum]
Version            = 1
IDData             = DLAB_2022-06-08_10-23-53_176_586
IDDevice           = SAM_8329
IDDataType         = SPECTRUM
IDDataTypeSub1     = BACK
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2022-06-08 10:16:49
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Calibration Station
MethodName         = SAM Calibration Station
Mission            = 
MissionSub         = 0
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = 
IDDataCal = 
IntegrationTime = 8192
P31 = -1
P31e = 0
PathLength = +INF
RAWDynamic = 65535
Temperature = +NAN
Unit1 = $05 $00 Pixel 
Unit2 = $03 $05 Intensity counts
Unit3 = $03 $05 Intensity counts
Unit4 = $f1 $00 Status 
[END] of [Attributes]
[DATA]
 0 12 0 0
 1 0.0144051896265674 0.0241432051091291 0
 2 0.0143144220355128 0.0239341764383734 0
 3 0.014304200849765 0.0241163177051674 0
 4 0.0144106626072532 0.0239055001251497 0
 5 0.0143910805796675 0.0241429532164608 0
 6 0.014344778514013 0.0241630433587372 0
 7 0.0143127608441997 0.0241261146367158 0
 8 0.0143736826496407 0.0239222290800882 0
 9 0.0143380934446756 0.023947506151503 0
 10 0.0143653711098253 0.024176861146642 0
 11 0.0143362029911647 0.0241543714779492 0
 12 0.0143410087734909 0.0239869834757125 0
 13 0.0143283173486285 0.0242545140877654 0
 14 0.0143560926209229 0.024118676384124 0
 15 0.0143490648796247 0.0239431682909293 0
 16 0.0143784027639767 0.0242500360540713 0
 17 0.0143346511966538 0.024261140104331 0
 18 0.0143648769922117 0.0241679867741733 0
 19 0.014336826046955 0.023881305336856 0
 20 0.0143637769175106 0.0239711336139671 0
 21 0.0143491788128174 0.0243684215932628 0
 22 0.0143685321016349 0.0240724199526557 0
 23 0.0143444487533175 0.0240292742123513 0
 24 0.0143725729787289 0.024064206471138 0
 25 0.0143356418745527 0.024123334740151 0
 26 0.0143818893290444 0.0241477367332938 0
 27 0.0143395199650176 0.0241627122150145 0
 28 0.0143749842447668 0.0240147698729118 0
 29 0.0143390842970511 0.0243669252495671 0
 30 0.0143633848686838 0.0241538751987697 0
 31 0.0143615272167659 0.0241466488641954 0
 32 0.014378027639376 0.0240003592731556 0
 33 0.0143617861399786 0.0238756818286716 0
 34 0.0143898751211251 0.0241972483930913 0
 35 0.014348668817837 0.0241078250993415 0
 36 0.0143722414732678 0.024466691504156 0
 37 0.0143560592959003 0.0241180889836882 0
 38 0.0143725016178164 0.0245201236472784 0
 39 0.014346719914679 0.0238525686252517 0
 40 0.0143868687155463 0.0243352920341198 0
 41 0.0143282407534194 0.0240139558912678 0
 42 0.0143738707353707 0.0243724284846756 0
 43 0.0143783687410478 0.024210335989013 0
 44 0.0143813514178147 0.0242834216953657 0
 45 0.0143499110909332 0.0241657150269899 0
 46 0.0144007204095224 0.0242086111439293 0
 47 0.0143726172957747 0.0241629508409865 0
 48 0.0143748847931285 0.0240254059230026 0
 49 0.0143615659505618 0.0241834346201077 0
 50 0.0143970244725846 0.0241338335846719 0
 51 0.0143573143057853 0.0238943630827109 0
 52 0.0143890285608635 0.0241445450454576 0
 53 0.014357025547081 0.0238937243611078 0
 54 0.014389049672527 0.0240775218702005 0
 55 0.0143755676943783 0.0244434433644696 0
 56 0.014374091099264 0.024289854297464 0
 57 0.0143626353173886 0.02437490080336 0
 58 0.014406513554693 0.0243624027026156 0
 59 0.0143628087470877 0.0243472299660681 0
 60 0.0144005164464256 0.0241688730244 0
 61 0.0143581598191876 0.0240386768088077 0
 62 0.0144001538841371 0.0241843130150537 0
 63 0.0143763059046971 0.0242101385596243 0
 64 0.0143847626090091 0.0241676395707656 0
 65 0.014372779210021 0.0240791116044558 0
 66 0.0144129119590449 0.0243158397406376 0
 67 0.0143670111894748 0.0243782670529899 0
 68 0.0143936699862716 0.0242489916508595 0
 69 0.0143582259458032 0.0242640837398584 0
 70 0.0144135704335765 0.0241902777915448 0
 71 0.014395114128746 0.0242369149422852 0
 72 0.0144120580707677 0.0242431797904997 0
 73 0.0143686633080069 0.0242742109423205 0
 74 0.0144084539084996 0.0242284581216271 0
 75 0.014388961561865 0.0242454686447388 0
 76 0.0143958994477356 0.024150031522634 0
 77 0.0143837113877444 0.0242727158205574 0
 78 0.0144042219795742 0.024144312878272 0
 79 0.0143662202872353 0.0244423122040463 0
 80 0.0143996222540635 0.0241386394454146 0
 81 0.0143689491006096 0.0244075098192342 0
 82 0.01440473930257 0.0242550264266299 0
 83 0.0143763032875487 0.0245288550536381 0
 84 0.0144046176924088 0.0241218289701184 0
 85 0.0143751527891222 0.0242380955036961 0
 86 0.0144044535099673 0.0243488163836493 0
 87 0.0143966224785939 0.0244474038224453 0
 88 0.0144031847164341 0.0243742297878249 0
 89 0.0143966144526722 0.0242480738049482 0
 90 0.0144111989481939 0.0245732307563409 0
 91 0.0143772871608619 0.0242126976355201 0
 92 0.0144176695858409 0.0242071851486365 0
 93 0.0143764552566312 0.0245119161008617 0
 94 0.0144226877061388 0.0245059502769998 0
 95 0.0143770540601798 0.0244118188771119 0
 96 0.0144041237492718 0.0247083452504709 0
 97 0.0143882849417713 0.0244093964831006 0
 98 0.0144243994956539 0.0241770110952228 0
 99 0.0143786048078314 0.0241247265213322 0
 100 0.0144112655982392 0.0245181104261115 0
