!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-03-04 11:23:53

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAT2027

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
0	0.00	0.000E+00	2.000E-04
1	305.23	4.969E-03	4.080E-03
2	308.57	4.097E-03	5.362E-03
3	311.92	5.149E-03	4.543E-03
4	315.27	5.695E-03	3.118E-03
5	318.62	4.888E-03	3.813E-03
6	321.97	4.656E-03	2.929E-03
7	325.33	3.900E-03	2.932E-03
8	328.68	3.445E-03	2.381E-03
9	332.03	2.197E-03	1.826E-03
10	335.39	2.196E-03	1.791E-03
11	338.74	2.343E-03	1.618E-03
12	342.10	1.818E-03	1.137E-03
13	345.46	1.239E-03	7.732E-04
14	348.82	1.224E-03	5.832E-04
15	352.18	1.387E-03	8.490E-04
16	355.54	1.248E-03	6.903E-04
17	358.90	1.092E-03	6.928E-04
18	362.26	1.097E-03	5.777E-04
19	365.62	1.069E-03	6.106E-04
20	368.99	1.021E-03	5.685E-04
21	372.35	9.053E-04	6.089E-04
22	375.72	9.001E-04	5.546E-04
23	379.08	8.304E-04	6.412E-04
24	382.45	8.105E-04	5.972E-04
25	385.82	8.321E-04	6.163E-04
26	389.19	8.872E-04	5.529E-04
27	392.56	8.642E-04	5.695E-04
28	395.93	8.803E-04	5.927E-04
29	399.30	8.704E-04	5.391E-04
30	402.67	8.630E-04	5.767E-04
31	406.04	8.335E-04	5.822E-04
32	409.41	8.676E-04	5.775E-04
33	412.78	8.798E-04	5.461E-04
34	416.16	9.001E-04	5.362E-04
35	419.53	9.110E-04	5.527E-04
36	422.91	9.169E-04	5.514E-04
37	426.28	9.502E-04	5.245E-04
38	429.66	9.862E-04	5.408E-04
39	433.04	9.916E-04	5.486E-04
40	436.41	9.797E-04	5.433E-04
41	439.79	9.772E-04	5.249E-04
42	443.17	9.870E-04	5.315E-04
43	446.55	9.941E-04	5.424E-04
44	449.93	1.032E-03	5.428E-04
45	453.31	1.073E-03	5.351E-04
46	456.69	1.116E-03	5.368E-04
47	460.07	1.133E-03	5.310E-04
48	463.45	1.154E-03	5.173E-04
49	466.84	1.167E-03	5.140E-04
50	470.22	1.172E-03	5.150E-04
51	473.60	1.174E-03	5.175E-04
52	476.98	1.155E-03	5.170E-04
53	480.37	1.181E-03	5.112E-04
54	483.75	1.249E-03	5.206E-04
55	487.14	1.330E-03	5.197E-04
56	490.52	1.413E-03	5.058E-04
57	493.91	1.477E-03	5.073E-04
58	497.29	1.513E-03	5.082E-04
59	500.68	1.530E-03	5.101E-04
60	504.07	1.550E-03	5.056E-04
61	507.45	1.565E-03	5.028E-04
62	510.84	1.590E-03	5.010E-04
63	514.23	1.591E-03	5.003E-04
64	517.62	1.605E-03	5.042E-04
65	521.00	1.612E-03	4.989E-04
66	524.39	1.606E-03	4.914E-04
67	527.78	1.611E-03	4.982E-04
68	531.17	1.632E-03	4.884E-04
69	534.56	1.659E-03	4.913E-04
70	537.95	1.700E-03	4.895E-04
71	541.34	1.750E-03	4.880E-04
72	544.73	1.802E-03	4.859E-04
73	548.12	1.851E-03	4.836E-04
74	551.51	1.898E-03	4.843E-04
75	554.90	1.926E-03	4.811E-04
76	558.29	1.949E-03	4.742E-04
77	561.68	1.967E-03	4.723E-04
78	565.07	1.973E-03	4.669E-04
79	568.46	1.989E-03	4.704E-04
80	571.85	1.995E-03	4.712E-04
81	575.24	2.008E-03	4.688E-04
82	578.63	2.026E-03	4.685E-04
83	582.02	2.027E-03	4.713E-04
84	585.41	2.027E-03	4.664E-04
85	588.80	2.033E-03	4.658E-04
86	592.19	2.029E-03	4.659E-04
87	595.58	2.034E-03	4.559E-04
88	598.98	2.062E-03	4.612E-04
89	602.37	2.074E-03	4.594E-04
90	605.76	2.076E-03	4.562E-04
91	609.15	2.068E-03	4.584E-04
92	612.54	2.040E-03	4.574E-04
93	615.93	2.034E-03	4.539E-04
94	619.32	2.024E-03	4.551E-04
95	622.71	2.038E-03	4.562E-04
96	626.10	2.073E-03	4.537E-04
97	629.49	2.145E-03	4.537E-04
98	632.88	2.241E-03	4.561E-04
99	636.27	2.332E-03	4.536E-04
100	639.66	2.411E-03	4.468E-04
