filename,ESWindowDark,ESWindowLight,ESSigmaDark,ESSigmaLight,ESMinDark,ESMaxDark,ESMinMaxBandDark,ESMinLight,ESMaxLight,ESMinMaxBandLight,LIWindowDark,LIWindowLight,LISigmaDark,LISigmaLight,LIMinDark,LIMaxDark,LIMinMaxBandDark,LIMinLight,LIMaxLight,LIMinMaxBandLight,LTWindowDark,LTWindowLight,LTSigmaDark,LTSigmaLight,LTMinDark,LTMaxDark,LTMinMaxBandDark,LTMinLight,LTMaxLight,LTMinMaxBandLight,Threshold
pySAS_20210205_161603_L1C,11,11,3.5,3.7,-999,-999,-999,-999,-999,-999,9,11,2.7,3.7,-999,-0.12,508.91,2.4,-999,508.91,9,11,3.5,3.7,-999,-0.2,508.75,9.0,-999,508.75,1
pySAS_20210205_171520_L1C,11,11,3.5,3.7,-999,-999,-999,-999,-999,-999,9,11,2.7,3.7,-999,-0.12,508.91,2.4,-999,508.91,9,11,3.5,3.7,-999,-0.2,508.75,9.0,-999,508.75,1
