!FRM4SOC_CP
!TEMPDATA
# thermal characterization results

# comments start with # (ignored by the processor)
# no empty lines between the parameter signatures in [] and the parameter values
# parameters are case insensitive
# parameters can be inserted in any order, except the first two signatures
# columns are tab- or space-delimited

[VERSION]
0.1

[CALDATE]
2022-06-03 19:33:11

[CALLAB]
Tartu Observatory

[USER]
Ilmar Ansko

[DEVICE]
SAT0386

[AMBIENT_TEMP]
21.0

[REFERENCE_TEMP]
20.0

#px	wl (nm)	cT (1/deg)	ucT (1/deg, k=2)
[CALDATA]
142	782.66	2.327E-003	2.125E-004
143	786.01	2.394E-003	2.155E-004
144	789.36	2.461E-003	2.317E-004
145	792.71	2.605E-003	2.230E-004
146	796.06	2.711E-003	2.107E-004
147	799.41	2.762E-003	2.095E-004
148	802.75	2.862E-003	2.067E-004
149	806.10	2.938E-003	2.321E-004
150	809.44	2.969E-003	2.151E-004
151	812.78	2.953E-003	2.150E-004
152	816.12	2.963E-003	2.109E-004
153	819.46	2.984E-003	2.275E-004
154	822.80	2.923E-003	2.183E-004
155	826.14	2.854E-003	2.034E-004
156	829.48	2.777E-003	2.040E-004
157	832.81	2.714E-003	2.050E-004
158	836.14	2.698E-003	2.143E-004
159	839.48	2.771E-003	2.084E-004
160	842.81	2.782E-003	2.209E-004
161	846.14	2.772E-003	2.107E-004
162	849.47	2.869E-003	2.225E-004
163	852.79	2.992E-003	2.037E-004
164	856.12	3.095E-003	2.081E-004
165	859.44	3.174E-003	2.049E-004
166	862.77	3.228E-003	2.149E-004
167	866.09	3.359E-003	2.376E-004
168	869.41	3.521E-003	2.132E-004
169	872.73	3.610E-003	2.245E-004
170	876.05	3.638E-003	2.164E-004
171	879.36	3.775E-003	2.135E-004
172	882.68	3.845E-003	2.593E-004
173	885.99	3.915E-003	2.263E-004
174	889.30	3.886E-003	2.370E-004
175	892.61	3.991E-003	2.363E-004
176	895.92	4.037E-003	2.162E-004
177	899.23	4.163E-003	2.360E-004
178	902.54	4.255E-003	2.346E-004
179	905.84	4.225E-003	2.525E-004
180	909.14	4.188E-003	2.161E-004
181	912.45	4.082E-003	2.452E-004
182	915.75	4.098E-003	2.523E-004
183	919.04	3.972E-003	2.510E-004
184	922.34	3.844E-003	2.650E-004
185	925.64	3.459E-003	2.632E-004
186	928.93	3.140E-003	2.885E-004
187	932.22	2.798E-003	2.556E-004
188	935.51	2.393E-003	2.586E-004
189	938.80	1.960E-003	2.706E-004
190	942.09	1.487E-003	3.284E-004
191	945.37	1.080E-003	3.562E-004
192	948.66	4.360E-004	5.109E-004
193	951.94	-2.446E-004	5.360E-004
194	955.22	-1.175E-003	6.209E-004
195	958.50	-2.153E-003	6.141E-004
196	961.78	-2.567E-003	8.597E-004
197	965.05	-2.774E-003	1.042E-003
198	968.32	-2.383E-003	1.037E-003
199	971.60	-1.958E-003	1.186E-003
200	974.87	-1.057E-003	1.076E-003
201	978.13	-3.475E-004	1.035E-003
202	981.40	7.748E-004	1.370E-003
203	984.67	1.681E-003	1.112E-003
204	987.93	2.831E-003	1.286E-003
205	991.19	3.699E-003	1.364E-003
206	994.45	4.507E-003	1.436E-003
207	997.71	5.280E-003	1.679E-003
208	1000.96	6.086E-003	1.639E-003
209	1004.22	7.048E-003	1.768E-003
210	1007.47	7.313E-003	1.604E-003
211	1010.72	7.993E-003	1.594E-003
212	1013.96	8.458E-003	1.580E-003
